sender,no_reacts,text,label
$USER0979,0,"Dar domnilor, in Italia nu sa terminat cu starea de alertă și cu covid!",OTHER
$USER1927,0,Ce inima sa aive nazistul de iohanis sau Neomarxistul de Câțu,ABUSE
$USER1943,1,mă piș pe tine graso,INSULT
$USER0376,0,HuaaaaAaaaaaaaaaaaa,OTHER
$USER0252,0,Din furnicä faceti elefánt trâdâtorilor sa va fie rusine !!!,OTHER
$USER1001,3,Bine ca îi ajutam noi pe europenii și ei peste tot rad de noi,OTHER
$USER0150,0,Americanii au invatat din trecut?......,OTHER
$USER0258,0,Stați măi cu limbile scoase acum. Luati-o la lins!,ABUSE
$USER0866,0,Chiriac daca incepe războiul sau daca ne da arme tu sa fi primul și Pielea nu al doilea care să părăsiți țara...că nu va văd bine jegosilor,ABUSE
$USER0939,0,Sa îmi bag pula cum adică iar asa fie pandemie,PROFANITY
$USER1046,0,Terhes marș la gigi24,INSULT
$USER4191,0,A VENIT SECOLUL PREA REPEDE. AI PREA PROST PENTRU SECOLUL ASTA,INSULT
$USER0390,0,Ce pr sunt catu si ciolacu,INSULT
$USER1891,0,Sa meargă Președintele țării cu ai lui sa lupte in prima linie. Noi nu vrem război. Nu i razboiul nostru.,OTHER
$USER1203,0,Parlamentarii as se duca,OTHER
$USER1843,0,Sunteți vreo 50 de pacăliți aveți poză făcută de sus se împuținează prostimea se prinde că osânza asta e o șarlatană în slujba Rusiei o trădătoare jalnica ce vinde poporul român !!,ABUSE
$USER0084,0,"LUIS LAZARUS ȘI GEORGE SIMION, CE ZICEȚI DE ACEST SUSPECT RECENSĂMÂNT??????",OTHER
$USER0493,0,"Mars globalistule ! Nu cred ca rusii au invadat tari intregi cum au facut "" sua ( sula ta )",INSULT
$USER2920,0,Claudiu Paraschiv asa e ma-ta ?,ABUSE
$USER2571,0,D-na nu-ti pune mintea cu toti prosti,INSULT
$USER0193,0,"sa-i pis in freza pe toti globalistii oricum, mizerii",ABUSE
$USER0032,2,Respect pentru domnul Ion coja,OTHER
$USER1087,0,Deci tot PSD a fost curva de casa,ABUSE
$USER0084,4,TRUMP ȘI PUTIN AU ȚINUT TOTUL IN FRÂU,OTHER
$USER0265,0,O fi vreo refugiată. Din America.,OTHER
$USER0838,0,pai eu vad un steag albastru galben,OTHER
$USER0666,0,Esti periculos mihai ai copi cu mata,ABUSE
$USER0104,0,Ma bucur ca domnul Neamtu are bunici din Dolj.,OTHER
$USER0045,2,Ceaușescu a fost omorât în ziua de Crăciun dece?,OTHER
$USER0070,0,Mult SUCCES si RESPECT.,OTHER
$USER1204,1,Alegeri anticipate votați Aur,OTHER
$USER0334,0,Americanilor! De ce nu o luați pe românia la voi în custodie? Și așa numai pe hartă o cunoaștem,OTHER
$USER1451,0,"V.ati îndepărtat de subiect, Se vede cu ochiul liber cum evitați să mai vorbiți de plandemie.Nu știu ce s.a întâmplat de v.ati schimbat așa",OTHER
$USER0984,0,Cu catu vom fi morti sau sclavi!!,ABUSE
$USER1075,0,POPORUL LA VOTAT. PE IOHANES. ACUM POPORUL CERE SĂ PLECE DIN GUVERNARE. JOS CU IOHANES.,OTHER
$USER2245,1,Da ce crezi ca moldovenii ne considera fratii lor?? Si ca ei vor sa fie din nou a Romaniei?? Stau acolo ca viermele in hrean sint incredibil de tifnosi,ABUSE
$USER1707,0,plecati ba cu rusii vostri,OTHER
$USER0594,3,"CINE A FORMAT NATO, CINE A FORMAT ONU, CINE A FORMAT OMS CINE A FORMAT FMI SAU UNIUNEA EUROPEANA ȘI MULTE ALTELE",OTHER
$USER0582,0,Cel mai iubit dintre pământeni ; Luis Lazarius !,OTHER
$USER0400,2,Ce nenorocit si lincau esti Chiriac.,INSULT
$USER1437,3,Sa vina Rusi..eu vreau ..si daca ancepw razboiul eu ma dau de partea Rusilor ..eu lupt su eu la razboi da va ampusc pe voi,OTHER
$USER0916,0,"Tudor panduru ""Patria este norodul, iară nu tagma jefuitorilor!""",OTHER
$USER0311,0,Covidul nea afectat lumea a rămas fără service si la noi e lumea amarata,OTHER
$USER1826,0,ASA ESTE ASA S-A FACUT ! AMIN !,OTHER
$USER0871,0,M-am convins si de Terhes și AUR și George Simion .,OTHER
$USER0555,0,"NICI IN PESCARA ,NUMAI EXISTA ULEI DE FLOAREA SOARELUI",OTHER
$USER3586,0,Toate televiziunile sunt slugile lui slogoui de iohanis,ABUSE
$USER1694,0,Ați votat un Președinte traficant și criminal,OTHER
$USER1055,0,Minte este fals Georgee,OTHER
$USER2261,0,"Mda uni au voie sa faca aliante alti nu au voie,lasa ca si Americani acelas cacat au mestecat",INSULT
$USER0021,2,Adevarat ce spuneti prosti nu pricep,INSULT
$USER0935,2,Dar nu a atacat Putin!,OTHER
$USER0341,3,"Hmmm, istorică?Astia ca asta , când vine , vine cu vreun motiv , sper sa nu bage România in război...",OTHER
$USER0027,0,SI CE PROPUI DOMNULE TERHEȘ SA SARIM NOI ROMÂNII LA BEREGATA LUI PUTIN ?!,OTHER
$USER1452,4,Baaaai nazistulemar sa cîștige ucraina nu?marș dracu în america,ABUSE
$USER0273,0,"Vedeți-vă de treabă,de la amenințări la bombardat e foarte puțin.",OTHER
$USER1414,0,"Bai baieti, cum sa ne luam noi teritoriile cand americanii ne domina???? Ganditi si voi???",OTHER
$USER0243,2,"Sa nuprocedeze ca in ani 44""",OTHER
$USER0632,0,"Corect ,domnule Dan Chitic ,",OTHER
$USER1328,0,Bună seara. O seară frumoasă va dorim,OTHER
$USER1046,0,Ucraina nu are granițele delimitate la ONU bă nefericitule,INSULT
$USER0764,0,Că ideie e a venit în control nu cum zici ea la atâta ai că ea ne apărăm cu centimetru sa fim realiști,OTHER
$USER0930,0,Bravo super Life ..bravo Luis ..bravo Simion seara faina fraților patrioti,OTHER
$USER2477,0,Mulți români îs proști că-s prea îngâmfați,INSULT
$USER0288,2,Massoni au invadat Romania …..,OTHER
$USER0020,0,"Este dezastroasa pentru ca am avut tradatori la carma,care ne au vandut in primul rand tara iar noi am fost passivi.",OTHER
$USER1696,0,Jos tot guvernul incompetent care ne-a dus la sapa de lemn!!! INCOMPETENTILOR! !!!! MIZERABILILOR !!!! TICALOSILOR !!!! FACETI LEGI DOAR VOUA SA VA MEARGA BINE !!!,ABUSE
$USER0342,0,Nu este prost cine cere prost este cine plătește adică noi poporul,INSULT
$USER1269,1,Mai bine la pușcărie decit sa apărăm niste tradatori,OTHER
$USER0699,0,UE CURVA LICURICILUI,ABUSE
$USER1264,0,Dami o armă să trag în Iohannis,OTHER
$USER3731,0,Uiduhaaaa slugile lu mortaciunea de Johannes,ABUSE
$USER0069,0,Bravo Diana ! Dumnezeu sa iti ajute,OTHER
$USER1578,0,Doamne a esit covitu avenit războiu,OTHER
$USER2356,1,"Din cauza ca sintem rai, nu ne mai suporta D- zeu, de aia ne da numai nenorociri! Sa ne întoarcem la credință și rugăciuni. Satana face ce vrea cu noi!!!",PROFANITY
$USER0504,1,Iau apucat criza pe psihopații care ne conduc la balamuc cu ei,ABUSE
$USER0115,2,"NATO EU sunt organizatiile globalistilor, organizatii mafiote.",OTHER
$USER1648,1,Asta este adevarul,OTHER
$USER1678,0,proaspeți sau murați?,OTHER
$USER1687,0,Bravo domnule Lasca.adevarat patriot,OTHER
$USER1235,0,Voi vorbiti ccurvelor din televiziune système satanist dute cu mata la razboi cu mata si hoti care à furat tara,ABUSE
$USER2909,0,Prost esti....ca noaptea..,INSULT
$USER0561,0,Numai bine cu pace in suflet sanatate doamne ajută la toata suflarea,OTHER
$USER0086,0,Ce sa aparam datine motive sa aparam Romania dupa ce ne-ati izgonit la munca in afară,OTHER
$USER0128,2,Kövesi este infractoarea care-i spala pe coruptii din Sistemul mafiot.,OTHER
$USER1785,0,"Pace ,pace pace ,pace ,",OTHER
$USER1176,5,Toți din parlament si guvern si dulapul de la cotroceni la PUSCARIEEEE,OTHER
$USER1186,0,JOS DICCTORII ROMANIEI!,OTHER
$USER0006,0,"Citiți cărțile istoriei, nu mai ascultați toți părăsiții!!!",OTHER
$USER0827,1,Bai zici că e la noi deja lupta pornită așa vorbiți,OTHER
$USER0950,0,România este in curul gol! Dar avem NATO!,INSULT
$USER2973,0,Nu am Energie ptr prosti Dar ii strang de gat cand dorm,INSULT
$USER3368,0,Unde dracu ai găsit atati prosti? Lasă.i sa stea la coada la ulei....,INSULT
$USER0425,0,Neutralitate!!!!,OTHER
$USER0228,0,Marș la DIGI 24 și Guvern!,INSULT
$USER0299,0,Romania este sclava Americii,OTHER
$USER0311,0,DA nu mai vorbiti urat,OTHER
$USER1664,0,Huuuuu Alina Gheorghiu,OTHER
$USER1771,0,La multi ani !!Noi vrem pace nenorociti vor sa ne omoare cu planurile lor de evrei,INSULT
$USER1229,0,Elena Dobre sunt convinsă,OTHER
$USER1229,1,Asta de la PSD este un lingău penibil,INSULT
$USER0613,0,dute dracu Neamțule,ABUSE
$USER2321,0,AR FI BINE SA I URCAM PE NENOROCITII ASTIA DE LA BUTOANE IN PRIMUL ELICOPTER CUMPARAT SI SA SCAPAM DRACULUI DE EI CA NU SE MAI POATE .,INSULT
$USER0334,0,Noi comentăm la rece pe Facebook dar.se pare că vom avea surprize din partea Americi.plăcute s-au de avertizare către românia!,OTHER
$USER1429,0,TERHES DUTE CUCA TATI,OTHER
$USER0166,3,"Pe Putin nu lor ascultat nimeni de 8 ani a vorbit ci NATO, OMS Usa etc Zelinsky este un drogat nazist",ABUSE
$USER0233,5,Astăzi este ziua în care începe sfârșitul României,OTHER
$USER0998,4,Uitați-vă Romani ce este în Canada stați în case și vom ajunge la fel ca ei,OTHER
$USER0246,0,Uitate pe posturile vecine,OTHER
$USER0246,0,Mai au pină ajung,OTHER
$USER1714,0,VREM PACE! JOS IOHANIS! JOS CIUCA!,OTHER
$USER0836,1,Americanii sunt vinovati,OTHER
$USER3787,0,Mulți prosti mai sunt pe lumea asta.,INSULT
$USER1154,1,Culcate tu ma gunoierule,ABUSE
$USER1824,1,Dute-n gâtu măti fe pupincurist și coadă de topor.,ABUSE
$USER3520,0,Pe ei mama dracului,PROFANITY
$USER0372,0,Mănânci mult rahat..!,INSULT
$USER1075,1,VOI NU FACEȚI NIMIC ÎN FAVOREA POPORULUI. DOAR LE DAȚI FACTURI MARI CA SĂ LE LUAȚI TOȚI BANI. TRĂZNIVAR ISUS DE HOȚI DRACULUI. ESTE 2500. RONI. UN SAC DE ÎNGRĂSĂMINTE ACUM.,ABUSE
$USER0529,0,Lăsăm asta înseamnă să cedeze suveranitatea,OTHER
$USER0971,3,Cei care au muncit pentru adevăr 2 ani sunt Patrioți indiferent cine ori cum se numesc și se numește alianță -uniți împreună,OTHER
$USER0862,0,Sa faca curatenie si la noi pt ce a ce lupta defapt,OTHER
$USER1460,0,sper sa ii traduca cineva lui plutin profetiile astea poate isi schimba directia,OTHER
$USER0926,0,Mergeti in rusia ca e mai bine pt voi,OTHER
$USER0079,0,Laura Simona Balc Zegrean astia chiar cred ca prostesc prostii!,OTHER
$USER0412,0,Bogdan Chiriac lasăne mă și du-te rușine să vă fie,OTHER
$USER0235,2,"Oamenii bunii ieșiți în stradă va rog ,este vorba de viata copiilor ,soților, nepoților si tuturor românilor",OTHER
$USER4039,0,Când se supără poporul o să săriți în aer mai ceva ca Ucraina câinilor de jandarmi,INSULT
$USER4293,0,Este o piele de p#$la,PROFANITY
$USER0443,0,"Kk asta de Chiriac ce papa tot kk, cu cat e platit pt propaganda si dezinformarea ce o face? Si cat suntem obligati sa.i mai suportam prezenta",INSULT
$USER0404,3,Johanis Hitler ne trimite copii noștri la război și el se pitula in buncăr futui rasa lui de criminal,ABUSE
$USER0508,0,Ce vreme de RĂZBOI. E LA NOI RAZBOI ??,OTHER
$USER1566,0,Te salut Luis din Liverpool UK.,OTHER
$USER4046,0,JAVRĂ ORDINARĂ. MERIȚI ARESTAT PE LOC.,ABUSE
$USER0856,0,De ce BBC & SKY News nu aminteste nimic de Romania ca ar ajuta in vreun fel Refugiati .,OTHER
$USER1561,0,"Domnul Lazarus, trebuie sa schimbam guvernul, justiția etc. Doar asa putem sa ieșim din criza economica, financiara, sanitara. Trebuie sa ieșim în strada sa blocam tot.",OTHER
$USER1585,2,Trebuie sa ieșim toată România afara ca să arătăm ca nu vrem război...vrem pace,OTHER
$USER0110,0,Problema este de ce vrea America să ne bage în război fiind conștientă că va fi cel de-al treilea război mondial.,OTHER
$USER0115,4,Terhes este idiot sau se preface! Observati cum le intoarce? Nu condamna deloc guvernul Ukrainian.,INSULT
$USER0722,0,Nu stiti nimic cunosti sistemul unei arme,OTHER
$USER0165,2,"Parinte aveti multe de invatat de la Aurelian, la cat mai multe live uri!",OTHER
$USER1605,2,Mars în Ucraina.,INSULT
$USER1494,0,Politicienii nu țara !,OTHER
$USER0084,0,"MIHAI NEAMȚU, CE A FĂCUT KAMALA KABALA IN ROMÂNIA???",OTHER
$USER1323,1,Hai să schimbăm canalul marș tv de c..,INSULT
$USER1734,0,Mizerabilii ăștia trebuie fugăriți din tara,ABUSE
$USER3188,0,Trei inteligenți,INSULT
$USER1227,0,"Ai dreacu lepre ,o lege sa putem sa i fugarim si sa i bagam in stare exceptionala da parnaie pannreferendum narional nu faceau?",ABUSE
$USER1844,0,Pace. Libertate Neutralitate. Naționalizare. !!!Pentru. Români.. Pentru toți oamenii. !!!,OTHER
$USER0219,0,Buna ziua romania tv,OTHER
$USER1592,0,Emilian Dragulin dute pana acum trebuia sa iesi in str,OTHER
$USER0366,0,POPULAȚIE INCULTĂ ...ĂȘTIA SÎNTEȚI VOI ROMĂNI.....HUOOOOO,INSULT
$USER3107,0,În țigani și în bețivi să nu ai niciodată încredere!,ABUSE
$USER0104,0,Stim Aureliane. De-aia nu credem nici pe unii nici pe ceilalti,OTHER
$USER1655,0,Mascarada covid mascarada razboi in ambele cazuri au suferit si sufera pulimea,PROFANITY
$USER0322,0,Slugilor asta ați fost toată viata,ABUSE
$USER2782,0,"Marș la al 4 Lea vaccin..., normalule , vouă ăstora va da și bon de masă.",INSULT
$USER2842,2,Proasta din păpușoi.. te-ai trezit?,INSULT
$USER2250,2,Putin a vrut sa ne trimita aurul dar idioții care ne au condus au refuzat! Si turistul de Ioha se gândește cum dracu sa faca sa ne bage in război cu forța!,INSULT
$USER0521,0,EXTRATEREȘTRI SUNT INVIZIBILI PRINTRE EVREI SATANEI VIZIBILI,ABUSE
$USER3013,2,Barancea Mariana Alexandr Mars la cotet,INSULT
$USER0371,0,"Daca afirma doar unul aceasta idee ,era dus la nebuni.6000 de comentarii ? Or fi toti dilii?AJUTOR NU MAI STU CUM SA PROCEDEZ CEZAR IONESCU !",OTHER
$USER0789,4,"ZELENSKI un aghiotanti al globalistilor, sa se aleagă praful de el.",ABUSE
$USER0017,0,"Neamțu, asta-i prost rău:)",INSULT
$USER1167,0,Bagă panică maximă să ne convingă să credem toată minciunile lor,OTHER
$USER0145,0,Hai Puți pregătește două bonbe cu airosol pe Cotroceni și scăpăm de Satanele astea Ocultei Cabalei,ABUSE
$USER1197,1,Feriți-vă ca nu se știe niciodată ce îți poate oferi viata generali de rahat ce sunteți.,INSULT
$USER2867,3,Pe scurt România este o cauza pierduta nu cred c-o mai valveaza nici dracu nu vad pe cineva în măsura sa ne scoată di căcat poate dacă se reincarneaza Ceaușescu,PROFANITY
$USER1634,0,Jos trădători neamului..jos fascismul de Iohanis.,ABUSE
$USER1522,0,"Domnul Cristian TERHEȘ, este că, o vacă bună de LAPTE, care , după ce a umplut găleata, dă cu copita și varsă tot laptele !",OTHER
$USER0421,0,"Marș javra ,nu te tine nimeni aici",ABUSE
$USER0619,0,Respect DAOMNULE CITIC,OTHER
$USER0296,0,"credeam că e mai bună, gloaba curului",ABUSE
$USER0374,0,Hotule demisiea,OTHER
$USER1876,0,La multi ani mamelor la multi ani duturor femeilor Respect va sustin din pacate nu pot fizic dar dau distribuiri an masa Doamne ajuta,OTHER
$USER1936,0,Iohannis este Satana cu chip uman.,ABUSE
$USER1852,0,Vaccinati cu ce????,OTHER
$USER0142,0,Felicitări Cezar toată admirația,OTHER
$USER1227,0,S a scumpit barilu da cacat politic?,PROFANITY
$USER0771,0,Bună ziua respect,OTHER
$USER1775,0,Pace vrem nu razboi .La război să meargă golanii care vor război.,INSULT
$USER1700,0,Jos AUR TRĂDĂTORI,OTHER
$USER0547,0,"Brava, jos botnita",OTHER
$USER2873,0,"Cand esti prost ,faci ce ti zic altii.",INSULT
$USER0563,0,De ce AUR Și PNL a atacat în tribunal partidul PDU ???? PUTEAU SA FACĂ COALIȚIE sau nu va place ce face Diaspora Europeană ???,OTHER
$USER0895,1,Noroc cu puțin ca a crescut pretul la benzina si ca.nu ati ajuns la a 7 doza de vaccin.deci.???PUTIN A SALVAT LUMEA DE LA.A 7 DOZA DE VACCIN,OTHER
$USER0027,0,ASCULTINDU-L PE POPA ASTA PUTEM SA INȚELEGEM CA UE SI NATO VOR SA IMPINGA RO INTR-UN RAZBOI,OTHER
$USER1342,0,Mars in pastele ma-tii,ABUSE
$USER0240,0,Se duc să vadă un film despre Vietnam sau Afganistan.....nu????,OTHER
$USER1397,2,"nu mai este ok acest om, ceva a patit,sa aliniat cu ceilalti....",OTHER
$USER3757,0,Esti un mare prost,INSULT
$USER0381,0,Sunt în războiul noi sau ucrainieni,OTHER
$USER3419,0,Visan este o jigodie platit de jegosi parlamentari,ABUSE
$USER0489,0,"Romania trebuie sa profite acum cat mai urgent de intarire a unei armate proprii, cat mai puternica si greu de invins",OTHER
$USER0313,0,ROMANIA COTROPITA DE HOTI.. IOHANIS VINDE TOT...,OTHER
$USER1535,0,"Dacă rămânem in Pace putem avea orice vecini ... Noi am fost un popor care a trăit linistit , care a stiut să pastreze relații de PRIETENIE cu toți vecinii ...",OTHER
$USER0077,0,Terhes VANZATORRRRRRRRRRRR!!!!!!!!,OTHER
$USER1129,0,Pe George Simion,OTHER
$USER0692,0,Dar c'è ne_a dat U E? Fututa de Ursula Ca' e dracu pe comoara,ABUSE
$USER0791,0,Ghinea Marian suntem datori cu moarte,OTHER
$USER1128,0,Doamna Susțin Diana Iovanovici Șoșoacă!,OTHER
$USER0346,0,Ce ordine a venit sa i dea neamțului????,OTHER
$USER1074,0,Succes AUR! Felicitari voua!,OTHER
$USER1758,0,La Mulți Ani Doamna Senator,OTHER
$USER0684,0,"...acceptul botnitei este unul din ""rezultatele"" ""deculturalizarii"" impuse de decenii si impunerea ""digitalizării"" !",OTHER
$USER1588,0,Transilvania independentă urmează,OTHER
$USER0668,0,Bai Neamțu tu ești basist,OTHER
$USER0426,0,Dar populația Romana mai doarme nu vede ce se întâmplă dormiți somnul cel de veci,OTHER
$USER0086,0,Acuma intelegem de ce UK a ales alt drum !!!,OTHER
$USER0126,0,DE CE ROMANIA TREBUIE SA LUPTE IN RAZBOI PENTRU INTERESELE AMERICI?!?!?!,OTHER
$USER2704,0,Ziceați că nu sunt dictatori! Uite Imbecilul ăsta ce-i debiteză capul ! Marș măi general tâmpit!,INSULT
$USER0721,0,Buna seara din HAMBURG GERMANIA tuturor celor prezenți în live!,OTHER
$USER1854,0,Doamne ajuta amin,OTHER
$USER1753,1,Am și eu un Băiat și ce vor criminali sa mi-l ea,OTHER
$USER0183,0,"DUTE MĂ DRACULUI TERHES, CINE TE PREGĂTIT AMERICANI,ȘI EUROPENI",ABUSE
$USER0859,1,Respectele mele stimata doamna și bună seara stimați urmăritorii aiacestei știre vă salut domnilor invitaților,OTHER
$USER1172,2,Ba asta ii drogata?ca ce greu vorbeste romaneste,OTHER
$USER0852,1,"Dictatura militara ne pregatiti, ordinarilor",ABUSE
$USER1416,0,"Grasutu asta imi era simpatic, acuma vorbeste din bratele americanilor si sustine minciunile lor!",OTHER
$USER0862,0,Cat pot manipula cei care semneaza prezenta in fiecare seara si se pricep la toate,OTHER
$USER0592,1,"ADEVARAT, ADEVARAT, ADEVARAT, SA MEARGA TOTI HOTIIIII TRADATORI SI MAFIOTI DIN PARLAMENTUL ROMANIEI IN FRUNTE CU CEI CARE AU RUINAT ROMANIA 32 DE ANI .JOS GUVERNUL TRADATOR HUOOOOO",OTHER
$USER0801,0,Vrem neutralitate!,OTHER
$USER0669,0,Bun la istorie și atât! Istorici aceștia trăiesc în trecut.,OTHER
$USER0994,0,nu vreti sa aveti informatii hipersonica e doar inceputul ..,OTHER
$USER1446,0,"Gata, nu va mai suport! Hai, pa!",OTHER
$USER0168,0,Bine a ti venit dle Giorgianni!,OTHER
$USER1448,0,"TERHES!!!NU VREI SA VORBESTI DE AZOV,OK,VORBESTE DESPRE NATO ,CINE SAU CE ESTE DE FAPT NATO?",OTHER
$USER0671,0,Pai el trăiește bine mna măcar nu se da lovit,OTHER
$USER0909,0,Claudia Maria Guzga Aveți mare dreptate!!!,OTHER
$USER0651,2,In Kazacstan a fost o lovitura de stat orchestrata vest!,OTHER
$USER1031,0,Dute pe ulite si toti o sa te inteleaga,OTHER
$USER0492,0,Ce fericit e turistul,OTHER
$USER1026,0,Nu s-au strans semnaturile pentru demiterea lui Joha????,OTHER
$USER1795,0,"Cu sacrificii enorme am crescut copiii in aceasta perioada de dupa revolutie,stiti bine .",OTHER
$USER4005,0,"Uitati-va la ei,la polițiști au mutre de criminali plătiți,sunt niste ,,gorile''ordinare",INSULT
$USER0745,0,"Dl-ului Neamțu, îi stau în gât puii și carnea de porc din magazine, merge la vânătoare, să facă crime!",OTHER
$USER1216,2,Asa este ...aici în Italia este stare de urgență până la sf anului,OTHER
$USER0058,0,Impuscate singur,ABUSE
$USER1365,0,"Războiul nostru al Romanilor e nenorocirea de stres ,Eu nu mai dorm !Am început s ma comport ca o nebuna !Lasa-ti dracu istoria !Vorbiți de pace mai mult",PROFANITY
$USER3705,0,Lumea moare de necaz și pi--a(aur) se piaptănă,ABUSE
$USER0828,1,Aşa este foarte adevarat aveti mare dreptate. Dumnezeu este mare şi sfânt pentru noi.,OTHER
$USER0909,0,Hărți Ne-o Doarme Mosuuu sub umbrar Sforăie că un bondar!!!!,OTHER
$USER0109,0,"Sa va fut in gura DE cenzuraci ,idioti, labagii",ABUSE
$USER0084,0,"BĂGAȚI REFUGIAȚI IN CASE, IEȘIȚI VOI, RĂMÂN EI",OTHER
$USER0631,0,Respect Dan Chitic!,OTHER
$USER0577,0,De ce nu trimite Harabagiu angajații pe front ?,OTHER
$USER3340,0,Să se ducă dracului la puscarie da ce sa facem justiția diarme,PROFANITY
